Joints;Role;Length;Strain
="113,78";Pulling;722.47;0.0117040304
="111,78";Pulling;694.59;0.0103285247
="111,85";Pulling;667.94;0.0091585908
="109,85";Pulling;694.89;0.0101977969
="109,90";Pulling;634.63;0.0075711752
="149,146";Pulling;1203.18;0.0057411725
="145,146";Pushing;1866.75;-0.0004832701
="149,150";Pushing;1862.52;-0.0005070593
="121,126";Pulling;1054.40;0.0028653236
="121,122";Pushing;1807.44;-0.0004313979
="125,124";Pulling;1074.40;0.0038283039
="115,92";Pulling;821.28;0.0099853966
="115,94";Pulling;798.06;0.0096119577
="117,94";Pulling;789.97;0.0093250936
="117,96";Pulling;788.17;0.0098611377
="119,96";Pulling;805.24;0.0104423622
="119,92";Pulling;810.83;0.0108635938
="127,132";Pulling;933.61;0.0051539489
="127,128";Pushing;1408.43;-0.0004229934
="131,130";Pulling;942.74;0.0053279172
="155,152";Pulling;942.58;0.0069221738
="151,152";Pushing;1295.75;-0.0004160906
="155,156";Pushing;1292.29;-0.0004708026
="125,102";Pulling;821.28;0.0099837305
="125,100";Pulling;798.07;0.0096176304
="123,100";Pulling;789.98;0.0093371868
="123,98";Pulling;788.20;0.0098683275
="121,98";Pulling;805.26;0.0104499115
="121,102";Pulling;810.76;0.0108612282
="135,138";Pulling;945.34;0.0054483791
="133,136";Pulling;942.76;0.0053323829
="135,136";Pushing;1409.97;-0.0003936953
="159,160";Pushing;1295.09;-0.0004196731
="159,158";Pulling;927.12;0.0064167711
="161,162";Pushing;1295.75;-0.0004106598
="131,108";Pulling;629.69;0.0095646894
="131,106";Pulling;633.60;0.0096982503
="129,106";Pulling;608.28;0.0085720252
="129,104";Pulling;617.52;0.0090267668
="127,104";Pulling;628.50;0.0096051702
="127,108";Pulling;644.75;0.0104189115
="167,164";Pulling;1213.08;0.0049534040
